,Unnamed: 0,tmax,ntol,williamson,dumpt,dt,coords_degree,ref_level,rk_stages,pcscheme,rk_type,stage_type,vector_invariant,directory,ncpus,diagnostics,First Step Time,Time,Iterations per timestep,Elevation error,Velocity error
0,0,86400,1e-06,6,86400000,7200,1,6,1,mg,GaussLegendre,deriv,Y,irk_data_0x20962929c71c93bc,16,N,15.533,94.736,11.833333333333334,0.013664219304095875,0.006148574368590499
1,1,86400,1e-06,6,86400000,7200,1,6,1,mg,RadauIIA,deriv,Y,irk_data_0x28db1677f64e739d,16,N,24.067,171.89700000000002,23.083333333333332,0.01554286630529618,0.018674266463136947
2,2,86400,1e-06,6,86400000,7200,1,6,2,mg,GaussLegendre,deriv,Y,irk_data_0x750a8835f609a920,16,N,28.688,182.208,8.916666666666666,0.009350522572122657,0.0041030302567662226
3,3,86400,1e-06,6,86400000,7200,1,6,2,mg,RadauIIA,deriv,Y,irk_data_0x5abd9551bdb29e8,16,N,34.146,252.14600000000002,12.833333333333334,0.006791100173469847,0.0045834900971737985
4,4,86400,1e-06,6,86400000,7200,1,6,3,mg,GaussLegendre,deriv,Y,irk_data_0x68f816ff28daedb3,16,N,48.965,328.865,7.916666666666667,0.00333441908729542,0.001550883424642465
5,5,86400,1e-06,6,86400000,7200,1,6,3,mg,RadauIIA,deriv,Y,irk_data_0x15ddf3c525882020,16,N,52.864,396.56399999999996,9.833333333333334,0.0034134493611147486,0.0018879825644169085
6,6,86400,1e-06,6,86400000,3600,1,6,1,mg,GaussLegendre,deriv,Y,irk_data_0x7f05b0a5c5111cbd,16,N,12.642,95.67699999999999,5.958333333333333,0.009148930118431138,0.008056322326750333
7,7,86400,1e-06,6,86400000,3600,1,6,1,mg,RadauIIA,deriv,Y,irk_data_0x32659711ae9c59fc,16,N,15.457,148.957,9.708333333333334,0.010578575765978237,0.01021968873039985
8,8,86400,1e-06,6,86400000,3600,1,6,2,mg,GaussLegendre,deriv,Y,irk_data_0x629a0c6e6628bf12,16,N,22.072,184.15200000000002,4.375,0.0030739640909930024,0.0013759794830310607
9,9,86400,1e-06,6,86400000,3600,1,6,2,mg,RadauIIA,deriv,Y,irk_data_0xf25a1a24a0d4061,16,N,25.387,250.007,6.208333333333333,0.004202612067991602,0.0025429160790078975
10,10,86400,1e-06,6,86400000,3600,1,6,3,mg,GaussLegendre,deriv,Y,irk_data_0x623bfe50b37d2b27,16,N,38.773,338.12300000000005,4.166666666666667,0.00019182910832525485,7.933812132670005e-05
11,11,86400,1e-06,6,86400000,3600,1,6,3,mg,RadauIIA,deriv,Y,irk_data_0x2bd46f9f794283a6,16,N,41.631,405.071,5.041666666666667,0.0006626395428643217,0.0003478397368898733
12,12,86400,1e-06,6,86400000,2400,1,6,1,mg,GaussLegendre,deriv,Y,irk_data_0x2e551ea33955e72c,16,N,10.532,98.319,4.027777777777778,0.010779337548864112,0.005296168454241567
13,13,86400,1e-06,6,86400000,2400,1,6,1,mg,RadauIIA,deriv,Y,irk_data_0xc3fa8f45ca27b0e,16,N,12.815,161.155,6.944444444444445,0.009183903439051665,0.007644454852943695
14,14,86400,1e-06,6,86400000,2400,1,6,2,mg,GaussLegendre,deriv,Y,irk_data_0x31e7b1e892649add,16,N,21.29,247.04999999999998,4.0,0.0008857216738025543,0.00036820424364999597
15,15,86400,1e-06,6,86400000,2400,1,6,2,mg,RadauIIA,deriv,Y,irk_data_0x642292220dd75785,16,N,21.649,248.479,4.055555555555555,0.0025116684586514787,0.0014197261886669148
16,16,86400,1e-06,6,86400000,2400,1,6,3,mg,GaussLegendre,deriv,Y,irk_data_0x10f6138868f8b64f,16,N,36.202,482.632,4.0,2.3846993406134566e-05,9.744160498171658e-06
17,17,86400,1e-06,6,86400000,2400,1,6,3,mg,RadauIIA,deriv,Y,irk_data_0x3f28cf7d8a0a158,16,N,38.327,493.917,4.111111111111111,0.00013205465401282512,6.704337139042715e-05
18,18,86400,1e-06,6,86400000,1200,1,6,1,mg,GaussLegendre,deriv,Y,irk_data_0xa3d9a9126d088cf,16,N,10.591,186.811,4.0,0.005606240275401171,0.0025364782870492
