,Unnamed: 0,tmax,ntol,williamson,dumpt,dt,coords_degree,ref_level,rk_stages,pcscheme,rk_type,vector_invariant,directory,ncpus,diagnostics,First Step Time,Time,Iterations per timestep,Elevation error,Velocity error
36,0,86400,1e-07,6,86400000,7200,1,6,1,mg,GaussLegendre,Y,irk_data_0x24fcf141d4673f60,16,N,16.19,102.107,13.416666666666666,0.01366421930431582,0.006148574368145633
37,1,86400,1e-07,6,86400000,7200,1,6,1,mg,RadauIIA,Y,irk_data_0x5cb65b2d51d87b06,16,N,29.051,211.37099999999998,28.666666666666668,0.015542866319154826,0.01867426646931745
38,2,86400,1e-07,6,86400000,7200,1,6,2,mg,GaussLegendre,Y,irk_data_0x628380b341e337ce,16,N,28.061,199.151,9.916666666666666,0.009350522571889997,0.004103030256376852
39,3,86400,1e-07,6,86400000,7200,1,6,2,mg,RadauIIA,Y,irk_data_0x6895d20ab6800472,16,N,35.567,265.317,13.666666666666666,0.006791100172041,0.00458349009719878
40,4,86400,1e-07,6,86400000,7200,1,6,3,mg,GaussLegendre,Y,irk_data_0x22c290c9b38bfe8d,16,N,49.517,350.967,9.0,0.003334419084983419,0.0015508834246355811
41,5,86400,1e-07,6,86400000,7200,1,6,3,mg,RadauIIA,Y,irk_data_0x49eb19d74def980a,16,N,49.099,403.11899999999997,10.5,0.003413449370112091,0.0018879825629720707
42,6,86400,1e-07,6,86400000,3600,1,6,1,mg,GaussLegendre,Y,irk_data_0x566abb5378b03f8c,16,N,12.854,111.011,7.041666666666667,0.009148930038250767,0.008056322300093687
43,7,86400,1e-07,6,86400000,3600,1,6,1,mg,RadauIIA,Y,irk_data_0x27ba6fc21e821859,16,N,16.396,170.88600000000002,11.166666666666666,0.010578575765777884,0.01021968873096409
44,8,86400,1e-07,6,86400000,3600,1,6,2,mg,GaussLegendre,Y,irk_data_0x14b5f390f91e982c,16,N,23.62,242.32,5.958333333333333,0.003073964191953107,0.0013759791064275075
45,9,86400,1e-07,6,86400000,3600,1,6,2,mg,RadauIIA,Y,irk_data_0x58597ed54f91ea2c,16,N,26.758,286.978,7.208333333333333,0.004202612066909998,0.0025429160788353633
46,10,86400,1e-07,6,86400000,3600,1,6,3,mg,GaussLegendre,Y,irk_data_0x655d59c59dac1772,16,N,40.706,401.68600000000004,5.041666666666667,0.00019182896195476685,7.933806208775688e-05
47,11,86400,1e-07,6,86400000,3600,1,6,3,mg,RadauIIA,Y,irk_data_0xc3f6724be18e9b9,16,N,44.197,479.337,6.125,0.0006626399874156952,0.00034783966194423067
48,12,86400,1e-07,6,86400000,2400,1,6,1,mg,GaussLegendre,Y,irk_data_0x3510d228cd5486b9,16,N,11.876,133.766,5.583333333333333,0.010779337481601583,0.005296168388138952
49,13,86400,1e-07,6,86400000,2400,1,6,1,mg,RadauIIA,Y,irk_data_0x3110bb87efb03d46,16,N,13.496,186.756,8.083333333333334,0.009183903448705092,0.007644454855714664
50,14,86400,1e-07,6,86400000,2400,1,6,2,mg,GaussLegendre,Y,irk_data_0x420b9bf7499a81f5,16,N,20.859,249.339,4.055555555555555,0.0008857216458730336,0.00036820430921378095
51,15,86400,1e-07,6,86400000,2400,1,6,2,mg,RadauIIA,Y,irk_data_0x3057014bfe2edd69,16,N,23.49,346.24,5.75,0.0025116690594229048,0.0014197261310229968
52,16,86400,1e-07,6,86400000,2400,1,6,3,mg,GaussLegendre,Y,irk_data_0x1ad2c5b0c02f21c5,16,N,39.538,600.088,5.0,2.3847122373565295e-05,9.744342566943984e-06
53,17,86400,1e-07,6,86400000,2400,1,6,3,mg,RadauIIA,Y,irk_data_0x4f3caf251eb8ed99,16,N,38.533,596.7230000000001,5.027777777777778,0.00013205514020147362,6.704307508776859e-05
54,18,86400,1e-07,6,86400000,1200,1,6,1,mg,GaussLegendre,Y,irk_data_0x32f323a0549b6e2e,16,N,11.318,187.328,4.0,0.005606240275400631,0.0025364782870491162
55,19,86400,1e-07,6,86400000,1200,1,6,1,mg,RadauIIA,Y,irk_data_0x7f715c2c41320e4d,16,N,11.578,255.118,5.541666666666667,0.007921058217836072,0.0055149070947532915
56,20,86400,1e-07,6,86400000,1200,1,6,2,mg,GaussLegendre,Y,irk_data_0x5a3a1f28c7a6c1dc,16,N,20.916,477.506,4.0,6.709325111542219e-05,2.6430633491955087e-05
57,21,86400,1e-07,6,86400000,1200,1,6,2,mg,RadauIIA,Y,irk_data_0x49cf9018f41e2780,16,N,20.789,480.769,4.027777777777778,0.0006115615189050965,0.00033570027497619657
58,22,86400,1e-07,6,86400000,1200,1,6,3,mg,GaussLegendre,Y,irk_data_0x3f2d6a3e74cd2508,16,N,39.06,1160.46,5.027777777777778,2.4341485599373654e-06,1.0713387164640534e-06
59,23,86400,1e-07,6,86400000,1200,1,6,3,mg,RadauIIA,Y,irk_data_0x1d57999d9dbefd33,16,N,41.686,1380.386,5.972222222222222,5.20461659555885e-06,2.604830907799421e-06
60,24,86400,1e-07,6,86400000,600,1,6,1,mg,GaussLegendre,Y,irk_data_0x7d26bc1b58b05c19,16,N,10.996,368.07599999999996,4.0,0.0018074234233238947,0.0007396522131141714
61,25,86400,1e-07,6,86400000,600,1,6,1,mg,RadauIIA,Y,irk_data_0x1393dc04a0e3e177,16,N,10.829,368.529,4.0,0.006898948770098801,0.004563682683981427
62,26,86400,1e-07,6,86400000,600,1,6,2,mg,GaussLegendre,Y,irk_data_0x35c48d94c5612dc2,16,N,20.868,940.7280000000001,4.0,4.48552168789048e-06,1.7784212326312974e-06
